loss,precision,recall,edge_f1,model,contamination_rate
0.004229624982771857,0.9881879736172753,0.9963621514991111,0.9920529453341573,Read-weighted MPNN,0.0
0.004539214287938361,0.9831538094517412,0.9968960448005058,0.9896575361033424,Read-weighted MPNN+ReadAux,0.0
0.004293448308012552,0.9885184144302627,0.996239049194749,0.9921581562239196,Read-weighted MPNN,0.05
0.004579810240240635,0.984270069636476,0.9968034053657873,0.9902018751418346,Read-weighted MPNN+ReadAux,0.05
0.004707684109733687,0.9877116524476672,0.9956251795851411,0.9914517315611721,Read-weighted MPNN,0.1
0.004919728031878536,0.9832070886663542,0.9960425854652801,0.9892697621582983,Read-weighted MPNN+ReadAux,0.1
0.005156127230693853,0.9865253171347386,0.9951340083061962,0.9905535131336819,Read-weighted MPNN,0.2
0.0053806810094178875,0.9829998654974047,0.9962249080592342,0.9892346422018158,Read-weighted MPNN+ReadAux,0.2
0.006506011856826308,0.9833939618766991,0.9939416347090132,0.9883192700744652,Read-weighted MPNN,0.3
0.006513963013781528,0.9791224406033148,0.9955809958666796,0.9868560934651629,Read-weighted MPNN+ReadAux,0.3
